word,text_index,tag,freq,lemma,is_new_paragraph,sentence_number,completed_words
cosa,1,NCFS000,1521,cosa,0,11,[visión cosa hacer aventura volver cosa cosa incursión cosa cosa cosa vuelta visita cosa]
En,1,SPS00,116148,en,1,12,
la,1,DA0FS0,184190,el,0,12,
biblioteca,1,NCFS000,155,biblioteca,0,12,
SaintGeneviève,1,AQ0CS0,1,saintgenevieve,0,12,
consulté,1,VMIS1S0,5,consultar,0,12,
un,1,DI0MS0,60280,uno,0,12,
diccionario,1,NCMS000,51,diccionario,0,12,
y,1,CC,140290,y,0,12,[para sobre viejo disponible especializado de que de sobre axolotl de de sobre]
supe,1,VMIS1S0,83,saber,0,12,[descubrí observe supe leí busque leí encontré halle busque leí encontré fui busque]
que,1,CS,57797,que,0,12,[de entender que que entender mas que que que que que que]
los,1,DA0MP0,79125,el,0,12,[los los ellos había los un los los los no los los los los los los los]
axolotl,1,NCMS000,1,axolotl,0,12,[axolotl axolotl axolotls axolotl axolotl axolotls axolotl axolotl axolotl leones axolotl axolotl axolotl axolotl axolotl axolotl axolotl axolotl axolotl axolotl axolotl axolotl leones axolotl]
son,1,VSIP3P0,7175,ser,0,12,[eran eran son son eran eran eran eran eran eran eran son eran son son son son]
formas,1,NCFP000,553,forma,0,12,[anfibios aves animales criaturas anfibios animales anfibios peces peces anfibios anfibios peces peces peces animales peces animales unos]
larvales,1,AQ0CP0,1,larval,0,12,
provistas,1,VMP00PF,10,proveer,0,12,
de,1,SPS00,262147,de,0,12,[de de de de de de partes de de de de de]
branquias,1,NCFP000,4,branquia,0,12,[escamas branquias branquias largos arácnidos patas cola patas braquias branquias branquias cuerpos branquias impresionantes escamas agallas defensas un]
de,1,SPS00,262147,de,0,12,[con extraños con feos que viscosas que como como de de minúsculas que]
una,1,DI0FS0,43026,uno,0,12,
especie,1,NCFS000,784,especie,0,12,
de,1,SPS00,262147,de,0,12,
batracios,1,NCMP000,4,batracio,0,12,
del,1,SPS00,49116,de,0,12,
género,1,NCMS000,279,genero,0,12,
amblistoma,1,VMIP3S0,1,amblistoma,0,12,
Que,1,CS,57797,que,0,13,[que estos ellos es en poseen que no el sus seguí los especie cerré entonces pensé ellos ellos son luego ese entendí luego]
eran,1,VSII3P0,1756,ser,0,13,[son viven respiran nunca respiran poseen increíbles vivían viven increíble son tienen son viven tienen es]
mexicanos,1,AQ0MP0,13,mexicano,0,13,[conocidos ranas un de crustáceos especiales de extraños anfibios ciegos exactamente peces anfibios exóticos una cordados]
lo,1,PP3CNA00,18856,lo,0,13,[y y pero de y y me y ya nativos y y y antiguos originalmente por y de y originarios y y]
sabía,1,VMII3S0,942,saber,0,13,[mismo descubrí sabia que hubiera sabia sabia supuse sabia axolotl sabia denotaba sabia supe entendí mismo que sabia sabia sabia]
ya,1,RG,8430,ya,0,13,[pero de ya ya afortunadamente bien y antes desde]
por,1,SPS00,39975,por,0,13,
ellos,1,PP3MP000,3172,ellos,0,13,
mismos,1,AQ0MP0,426,mismo,0,13,
por,1,SPS00,39975,por,0,13,
sus,1,DP3CP0,16974,su,0,13,
pequeños,1,AQ0MP0,405,pequenio,0,13,
rostros,1,NCMP000,164,rostro,0,13,[brazos rostros símbolos ojos ojos cuerpos ojos ojos sombreros ojos nombres cuerpos hijos rostros]
rosados,1,AQ0MP0,14,rosado,0,13,[y tristes y y indígenas achinados fríos y curiosos pálidos por rosados chatos]
aztecas,1,NCCP000,8,azteca,0,13,[y aztecas aztecas circulares y ovalados y húmedos además con parecían parecidos]
y,1,CC,140290,y,0,13,[latinos particulares y y blancos y curtidos se y que y y]
el,1,DA0MS0,139088,el,0,13,
cartel,1,NCMS000,78,cartel,0,13,
en,1,SPS00,116148,en,0,13,
lo,1,DA0NS0,11311,el,0,13,
alto,1,AQ0MS0,319,alto,0,13,
del,1,SPS00,49116,de,0,13,
acuario,1,NCMS000,9,acuario,0,13,[acuario acuario lugar acuario acuario acuario acuario lomo acuario anuncio templo acuario lugar acuario cuerpo estanque acuario acuario]
Leí,1,VMIS1S0,72,leer,0,14,
que,1,CS,57797,que,0,14,
se,1,P00CN000,68376,se,0,14,
han,1,VAIP3P0,5932,haber,0,14,[encuentran alimentaban alimentan reproducían reproducían reproducen criaban dormían alimentaban llamaban alimentaban alimentaban movían apareaban llaman sabia han alimentaban escondían encontraron aparean encuentran alimentan conocen]
encontrado,1,VMP00SM,256,encontrar,0,14,[propagado ido ido considerado sido extinguido mantenido ido extinguido ido descubierto evolucionado sido quedado extinguido ido vuelto]
ejemplares,1,NCMP000,95,ejemplar,0,14,[varios muchos miles pocos solo en fósiles muchos ejemplares muertos varios muchas en gran hace distintas muchos]
en,1,SPS00,116148,en,0,14,[en nuevos en en en cerca enteros únicos incluso en en en de]
África,1,NCFS000,1,africa,0,14,[Australia mexico África brasil panamá parís el África África mexico mexico muchos brasil países muchas aguas la]
capaces,1,AQ0CP0,390,capaz,0,14,[que cerca y para y y y del y y también y en]
de,1,SPS00,262147,de,0,14,[de de de de de de de de de de pulmonares de de de de de de de de de de de]
vivir,1,VMN0000,724,vivir,0,14,
en,1,SPS00,116148,en,0,14,
tierra,1,NCFS000,1030,tierra,0,14,
durante,1,SPS00,2840,durante,0,14,
los,1,DA0MP0,79125,el,0,14,
períodos,1,NCMP000,86,periodo,0,14,
de,1,SPS00,262147,de,0,14,
sequía,1,NCFS000,31,sequia,0,14,
y,1,CC,140290,y,0,14,
que,1,PR0CN000,57797,que,0,14,
continúan,1,VMIP3P0,65,continuar,0,14,
