#texto,#palabra,palabra,cloze_entropy,zeros,2gram_entropy,#texto,#palabra,palabra,prob_cloze,prob_cache,prob2gram
1,328,momento,-0.270933745686,0,-1.06187322458,1,328,momento,0.8,0.00287356321839,0.0427554
1,329,comprendí,-0.811636788275,0,-1.14461194512,1,329,comprendí,0.0555555555556,0.00286532951289,0.000529941
1,330,que,-0.163629201979,0,-2.80441804079,1,330,que,0.823529411765,0.0285714285714,0.599701
1,341,embargo,-1.22262796506,0,-1.12657068093,1,341,embargo,0.0434782608696,0.00277008310249,0.191675
1,343,Me,-1.16925580832,0,-1.03008069071,1,343,Me,0.047619047619,0.0164835164835,0.00953055
1,344,había,-0.822461779221,0,-1.0108353523,1,344,había,0.0833333333333,0.0027397260274,0.0240508
1,345,bastado,-1.06011946549,0,-1.02297144151,1,345,bastado,0.0666666666667,0.00273224043716,0.000221137
1,348,primera,-0.523235086234,0,-1.03223819738,1,348,primera,0.0714285714286,0.00271002710027,0.00615674
1,349,mañana,-0.426949588776,0,-1.35427904348,1,349,mañana,0.153846153846,0.00540540540541,0.00193296
1,350,ante,-0.712996326252,0,-1.08977213736,1,350,ante,0.166666666667,0.00269541778976,0.0005082
1,351,el,-0.699676933211,0,-1.29678446633,1,351,el,0.166666666667,0.0215053763441,0.211007
1,352,cristal,-0.627401594918,0,-1.00486663799,1,352,cristal,0.0416666666667,0.00268096514745,0.000668954
1,353,donde,-0.762854213403,0,-1.12929537026,1,353,donde,0.0555555555556,0.00267379679144,0.00475015
1,359,agua,-0.632821394956,0,-1.00486663799,1,359,agua,0.526315789474,0.00263157894737,0.00515145
1,360,Los,-1.10312375058,0,-1.03008069071,1,360,Los,0.0666666666667,0.0340314136126,0.0145573
1,361,axolotl,-0.585663054848,0,-1.01039167326,1,361,axolotl,0.473684210526,0.0104438642298,1.79476e-09
1,362,se,-0.659859507154,0,-1.40377536685,1,362,se,0.0714285714286,0.0104166666667,0.0100337
1,366,mezquino,-0.718835096505,0,-1.00486663799,1,366,mezquino,0.04,0.00257731958763,4.29734e-06
1,367,y,-0.871609435116,0,-1.1803939437,1,367,y,0.0555555555556,0.0411311053985,0.218182
1,368,angosto,-1.03940224848,0,-1.02451267902,1,368,angosto,0.0588235294118,0.0025641025641,9.43235e-06
1,369,sólo,-1.01879512342,0,-1.09591583404,1,369,sólo,0.0434782608696,0.00255754475703,0.000413601
1,371,puedo,-0.875604434075,0,-1.06461391386,1,371,puedo,0.047619047619,0.00254452926209,0.00573729
1,372,saber,-0.796657624451,0,-1.02212970735,1,372,saber,0.0909090909091,0.00253807106599,0.00517997
1,373,cuán,-0.735003830319,0,-1.299245491,1,373,cuán,0.214285714286,0.00253164556962,0.00099366
1,374,angosto,-0.845108735255,0,-1.02042569829,1,374,angosto,0.357142857143,0.00252525252525,2.10361e-06
1,375,y,-0.260648813799,0,-1.09591583404,1,375,y,0.0833333333333,0.0428211586902,0.138889
1,376,mezquino,-0.344712583076,0,-1.02451267902,1,376,mezquino,0.714285714286,0.00251256281407,1.57206e-05
1,377,piso,-0.995888754975,0,-1.1803939437,1,377,piso,0.0526315789474,0.00250626566416,4.38657e-05
1,378,de,-0.712260885274,0,-1.30597529834,1,378,de,0.478260869565,0.055,0.284389
1,379,piedra,-0.883208333908,0,-1.06542339983,1,379,piedra,0.0555555555556,0.00249376558603,0.00136662
1,380,y,-0.910434357385,0,-1.08968198439,1,380,y,0.117647058824,0.044776119403,0.115132
1,381,musgo,-1.14612803568,0,-1.02451267902,1,381,musgo,0.0666666666667,0.00248138957816,1.36245e-05
1,382,del,-0.796760840692,0,-1.23886941375,1,382,del,0.0588235294118,0.00742574257426,0.0201097
1,383,acuario,-0.232764926404,0,-1.00567452687,1,383,acuario,0.785714285714,0.00493827160494,2.79225e-05
1,384,Había,-1.27331810752,0,-1.03008069071,1,384,Había,0.0416666666667,0.004914004914,0.00431826
1,385,nueve,-0.991222597203,0,-1.02297144151,1,385,nueve,0.0555555555556,0.00245098039216,4.78135e-05
1,386,ejemplares,-0.797548109011,0,-1.11091409174,1,386,ejemplares,0.117647058824,0.00244498777506,5.43927e-05
1,387,y,-0.766993611759,0,-1.50525357649,1,387,y,0.0434782608696,0.0463414634146,0.0315217
1,388,la,-0.988637810925,0,-1.02451267902,1,388,la,0.047619047619,0.0121654501217,0.0429382
1,389,mayoría,-0.877194505705,0,-1.00626869688,1,389,mayoría,0.166666666667,0.00242718446602,0.00345533
1,390,apoyaba,-0.587072329445,0,-4.41005380807,1,390,apoyaba,0.0666666666667,0.00242130750605,2.51237e-05
1,391,la,-0.5983794094,0,-1.42645650296,1,391,la,0.142857142857,0.0144927536232,0.134191
1,392,cabeza,-0.313327698024,0,-1.00626869688,1,392,cabeza,0.692307692308,0.00240963855422,0.0184243
1,394,el,-0.141181741505,0,-1.33109629517,1,394,el,0.818181818182,0.0263788968825,0.243895
1,395,cristal,-0.341660006534,0,-1.00486663799,1,395,cristal,0.263157894737,0.00239234449761,0.000668954
1,396,mirando,-1.14052887533,0,-1.12929537026,1,396,mirando,0.130434782609,0.00238663484487,0.000225873
1,397,con,-0.641063842019,0,-1.21622462905,1,397,con,0.0555555555556,0.00238095238095,0.0594697
1,398,sus,-0.982541866126,0,-1.10228202737,1,398,sus,0.222222222222,0.00475059382423,0.0241536
1,399,ojos,-0.111752065679,0,-1.01500209458,1,399,ojos,0.866666666667,0.00236966824645,0.0563216
1,400,de,-1.05360498482,0,-1.09534545626,1,400,de,0.0588235294118,0.0543735224586,0.144241
1,401,oro,-1.02131873826,0,-1.06542339983,1,401,oro,0.0714285714286,0.00235849056604,0.00179979
1,402,a,-1.07586160633,0,-1.19761818057,1,402,a,0.12,0.0117647058824,0.0191511
1,419,e,-0.631840757457,0,-1.13565123667,1,419,e,0.0625,0.00225733634312,0.021327
1,420,inmóviles,-0.978347485908,0,-1.03328822288,1,420,inmóviles,0.235294117647,0.00225225225225,0.00181441
1,421,aglomeradas,-0.540542276921,0,-1.20404900628,1,421,aglomeradas,0.0434782608696,0.00224719101124,2.21061e-08
1,423,el,-0.747813814394,0,-1.16043953167,1,423,el,0.380952380952,0.0268456375839,0.171373
1,424,fondo,-0.726412001554,0,-1.00486663799,1,424,fondo,0.0833333333333,0.00223214285714,0.00316643
1,425,del,-0.327890925911,0,-1.66867020502,1,425,del,0.733333333333,0.00890868596882,0.207584
1,426,acuario,-0.485962004308,0,-1.00567452687,1,426,acuario,0.428571428571,0.00666666666667,2.79225e-05
1,443,Vi,-0.911268706598,0,-1.03008069071,1,443,Vi,0.0833333333333,0.00213219616205,0.000357349
1,455,de,-0.448870296847,0,-1.16938091696,1,455,de,0.583333333333,0.0519750519751,0.142857
1,456,cristal,-0.888887250648,0,-1.06542339983,1,456,cristal,0.0588235294118,0.00414937759336,0.000760335
1,457,lechoso,-0.64624584286,0,-1.12929537026,1,457,lechoso,0.0588235294118,0.00207039337474,0.000605468
1,468,una,-0.7688764291,0,-1.16043953167,1,468,una,0.260869565217,0.0101214574899,0.0328872
1,469,cola,-0.433258630561,0,-1.00983646627,1,469,cola,0.666666666667,0.0020202020202,0.00030945
1,470,de,-0.708484314335,0,-1.23916443928,1,470,de,0.0714285714286,0.054435483871,0.244912
1,482,cuerpo,-0.450757861771,0,-1.01429394528,1,482,cuerpo,0.684210526316,0.00196850393701,0.00795311
1,489,aleta,-0.893733542436,0,-1.00983646627,1,489,aleta,0.214285714286,0.00193798449612,3.4487e-05
1,490,transparente,-1.09022634416,0,-1.24303792704,1,490,transparente,0.04,0.00193423597679,7.1984e-06
1,491,que,-0.530823780305,0,-1.19042470182,1,491,que,0.444444444444,0.0250965250965,0.108491
1,495,la,-0.558881682294,0,-1.10228202737,1,495,la,0.5,0.0172413793103,0.110167
1,496,cola,-0.616946548585,0,-1.00626869688,1,496,cola,0.521739130435,0.0038240917782,0.000612548
1,497,pero,-1.06312675816,0,-1.23916443928,1,497,pero,0.05,0.00381679389313,0.000396653
1,504,patas,-0.616946548585,0,-1.00979794077,1,504,patas,0.0833333333333,0.00188323917137,0.0017243
